Title,Subtitle,Author,Publisher,Publishing Date,Price,Rating,Review Count,Sales Index,Link
혼자 공부하는 SQL,1:1 과외하듯 배우는 데이터베이스 자습서,우재남,한빛미디어,2021년 11월,"21,600",9.7,52,5988,https://www.yes24.com/product/goods/104661489
실무에 바로 쓰는 일잘러의 챗GPT 프롬프트 74가지,,이석현,제이펍,2025년 10월,"19,800",10.0,49,3561,https://www.yes24.com/product/goods/159060578
AI를 움직이는 수학 이야기,실생활 예제로 배우는 기술 속 수학의 비밀,후루시마 도오루/하승민 역,한빛미디어,2025년 12월,"29,700",10.0,1,1212,https://www.yes24.com/product/goods/169407614
현직 교사가 만든 업무자동화를 원하는 교사를 위한 찐 실전 챗GPT GPTs·미조우·제미나이 - 챗봇 만들기 생성형 AI 챗봇으로 수업 업무 박살 내기!,"탐구 질문 생성, 생활기록부 작성(행발, 교과 세특), 갈등 해결 챌린지, 학생 질문 평가, 진로 연계 학생 활동, 학급 경영(좌석 배치)","김요섭, 허영주, 조래정, 정재우",광문각출판미디어,2025년 04월,"15,000",9.9,36,6057,https://www.yes24.com/product/goods/145383562
주니어 백엔드 개발자가 반드시 알아야 할 실무 지식,시행착오를 줄여주는 실무 밀착 백엔드 개발 가이드,최범균,한빛미디어,2025년 04월,"25,200",9.8,25,10362,https://www.yes24.com/product/goods/145761422
밑바닥부터 시작하는 딥러닝 2,파이썬으로 직접 구현하며 배우는 순환 신경망과 자연어 처리,사이토 고키/개앞맵시 역,한빛미디어,2019년 05월,"26,100",9.9,45,5433,https://www.yes24.com/product/goods/72173703
코딩 자율학습 리액트 프런트엔드 개발 입문,리액트 19와 타입스크립트로 배우는 실무 중심 프런트엔드 개발 자습서,김기수,길벗,2025년 09월,"37,800",9.9,19,2754,https://www.yes24.com/product/goods/151667493
된다! 하루 만에 만드는 AI 사진 & 이미지,"챗GPT부터 미드저니까지 다 통한다! 광고 사진, 카드 뉴스, 섬네일, AI 인물 모델 등 인스타그램, 유튜브, 블로그 어디든 활용 가능!",김원석,이지스퍼블리싱,2025년 08월,"16,020",10.0,40,4296,https://www.yes24.com/product/goods/151780100
LLM을 활용한 실전 AI 애플리케이션 개발,"LLM의 기본부터 모델 학습, 임베딩, 벡터 데이터베이스로 만드는 RAG까지",허정준/정진호 그림/박재호 감수,책만,2024년 07월,"28,800",9.4,29,12501,https://www.yes24.com/product/goods/129081594
콘텐츠 디자인은 피그마 with AI,"마케팅, 기획을 위한 올인원 디자인 플랫폼! 기초 사용법, 플러그인, 인공지능 기능부터 배너, 카드 뉴스 템플릿, 상세페이지 자동화까지",김선영,골든래빗,2025년 08월,"23,400",10.0,8,5532,https://www.yes24.com/product/goods/150110126
AI 프로토타이핑 실전,기획 아이디어를 빠르게 실현하는,김성박,루비페이퍼,2025년 12월,"25,200",10.0,4,1542,https://www.yes24.com/product/goods/169641363
10일 만에 익히는 파이토치 딥러닝,,한기영,인사이트(insight),2025년 12월,"24,300",10.0,1,1014,https://www.yes24.com/product/goods/169421035
선생님을 위한 8282 업무 자동화 with AI+파이썬+노코드,학교 수업·행정 자동화의 모든 것! 선생님을 위한 72가지 업무 혁신 가이드,"강우혁, 김송희, 서승희, 송석리, 한솔 외 2명
                                        
정보 더 보기/감추기



강우혁
김송희
서승희
송석리
한솔
한준구
황수빈",골든래빗,2025년 04월,"25,200",10.0,6,6579,https://www.yes24.com/product/goods/143533211
